key,name,date,value
7,Belmont Cragin,1990,4321075
7,Belmont Cragin,1991,4808828
7,Belmont Cragin,1992,4632496
7,Belmont Cragin,1993,4215190
7,Belmont Cragin,1994,5260636
7,Belmont Cragin,1995,7980149
7,Belmont Cragin,1996,9412549
7,Belmont Cragin,1997,8348899
7,Belmont Cragin,1998,5487361
7,Belmont Cragin,1999,4746362
7,Belmont Cragin,2000,7064406
7,Belmont Cragin,2001,8182542
1,Beverly,1990,3640743
1,Beverly,1991,3914520
1,Beverly,1992,3543763
1,Beverly,1993,3717074
1,Beverly,1994,5276520
1,Beverly,1995,8122411
1,Beverly,1996,7989421
1,Beverly,1997,5548465
1,Beverly,1998,4170314
1,Beverly,1999,3943808
1,Beverly,2000,6532355
1,Beverly,2001,5917261
4,Bridgeport,1990,1432518
4,Bridgeport,1991,1505713
4,Bridgeport,1992,1436611
4,Bridgeport,1993,1396070
4,Bridgeport,1994,1538408
4,Bridgeport,1995,2174275
4,Bridgeport,1996,3214064
4,Bridgeport,1997,3190274
4,Bridgeport,1998,2216819
4,Bridgeport,1999,1688117
4,Bridgeport,2000,1827677
4,Bridgeport,2001,2450848
8,Brighton Park,1990,1467890
8,Brighton Park,1991,1489041
8,Brighton Park,1992,1356853
8,Brighton Park,1993,1320261
8,Brighton Park,1994,1499679
8,Brighton Park,1995,2130844
8,Brighton Park,1996,2953212
8,Brighton Park,1997,3064042
8,Brighton Park,1998,1989410
8,Brighton Park,1999,1551733
8,Brighton Park,2000,1928612
8,Brighton Park,2001,2385363
7,Burnside,1990,327518
7,Burnside,1991,307124
7,Burnside,1992,309703
7,Burnside,1993,298203
7,Burnside,1994,362046
7,Burnside,1995,489229
7,Burnside,1996,574098
7,Burnside,1997,409143
7,Burnside,1998,320751
7,Burnside,1999,369243
7,Burnside,2000,517420
7,Burnside,2001,537427
3,Calumet Heights,1990,2409369
3,Calumet Heights,1991,2236650
3,Calumet Heights,1992,2254978
3,Calumet Heights,1993,2201986
3,Calumet Heights,1994,2631495
3,Calumet Heights,1995,4347715
3,Calumet Heights,1996,4661996
3,Calumet Heights,1997,3236269
3,Calumet Heights,1998,2354292
